ecg,ppg_red,ppg_ir,,ppg_red1,ppg_ir1,heart_rate,SpO2_val,SCD_status,temperature
3049,17655,18875,,67655,30875,72,98,On Skin,37
3524,17721,18895,,67721,30895,72,98,On Skin,37
3211,17793,18915,,67793,30915,72,98,On Skin,37
3007,17858,18942,,67858,30942,72,98,On Skin,37
2431,17908,18964,,67908,30964,72,98,On Skin,37
1790,17927,18964,,67927,30964,72,98,On Skin,37
846,17895,18947,,67895,30947,72,98,On Skin,37
840,17805,18900,,67805,30900,72,98,On Skin,37
1736,17789,18884,,67789,30884,72,98,On Skin,37
1793,17800,18884,,67800,30884,72,98,On Skin,37
1907,17862,18897,,67862,30897,72,98,On Skin,37
-5,18317,19024,,68317,31024,72,98,On Skin,37
427,18408,19045,,68408,31045,72,98,On Skin,37
449,18472,19056,,68472,31056,72,98,On Skin,37
818,18580,19081,,68580,31081,72,98,On Skin,37
-159,18656,19096,,68656,31096,72,98,On Skin,37
-173,18710,19106,,68710,31106,72,98,On Skin,37
764,18757,19113,,68757,31113,72,98,On Skin,37
1792,18870,19144,,68870,31144,72,98,On Skin,37
1804,18941,19171,,68941,31171,72,98,On Skin,37
12504,18973,19173,,68973,31173,72,98,On Skin,37
8137,19015,19183,,69015,31183,72,98,On Skin,37
3546,19051,19195,,69051,31195,72,98,On Skin,37
3637,19089,19196,,69089,31196,72,98,On Skin,37
3009,19093,19186,,69093,31186,72,98,On Skin,37
3596,19070,19174,,69070,31174,72,98,On Skin,37
3572,19089,19169,,69089,31169,72,98,On Skin,37
3830,19212,19216,,69212,31216,72,98,On Skin,37
2866,19412,19317,,69412,31317,72,98,On Skin,37
3648,19615,19393,,69615,31393,72,98,On Skin,37
3598,19686,19405,,69686,31405,72,98,On Skin,37
3894,19676,19382,,69676,31382,72,98,On Skin,37
4616,19600,19347,,69600,31347,72,98,On Skin,37
5304,17553,18802,,67553,30802,72,98,On Skin,37
4627,17241,18727,,67241,30727,72,98,On Skin,37
4023,17052,18701,,67052,30701,72,98,On Skin,37
3677,16953,18676,,66953,30676,72,98,On Skin,37
3692,16890,18648,,66890,30648,72,98,On Skin,37
3965,16915,18655,,66915,30655,72,98,On Skin,37
3554,16986,18663,,66986,30663,72,98,On Skin,37
3309,17007,18657,,67007,30657,72,98,On Skin,37
3382,17025,18663,,67025,30663,72,98,On Skin,37
3028,17062,18664,,67062,30664,72,98,On Skin,37
3774,17134,18689,,67134,30689,72,98,On Skin,37
3656,17208,18699,,67208,30699,72,98,On Skin,37
3608,17236,18701,,67236,30701,72,98,On Skin,37
3509,17298,18715,,67298,30715,72,98,On Skin,37
3756,17363,18732,,67363,30732,72,98,On Skin,37
2697,17407,18749,,67407,30749,72,98,On Skin,37
2910,17340,18708,,67340,30708,72,98,On Skin,37
3175,17307,18695,,67307,30695,72,98,On Skin,37
2457,17381,18730,,67381,30730,72,98,On Skin,37
444,17380,18727,,67380,30727,72,98,On Skin,37
26,17371,18701,,67371,30701,72,98,On Skin,37
731,17427,18721,,67427,30721,72,98,On Skin,37
707,17526,18754,,67526,30754,72,98,On Skin,37
367,17627,18791,,67627,30791,72,98,On Skin,37
872,17711,18811,,67711,30811,72,98,On Skin,37
1102,17774,18812,,67774,30812,72,98,On Skin,37
1510,17814,18813,,67814,30813,72,98,On Skin,37
1509,17909,18846,,67909,30846,72,98,On Skin,37
1689,18006,18877,,68006,30877,72,98,On Skin,37
1544,18156,18922,,68156,30922,72,98,On Skin,37
1409,18283,18965,,68283,30965,72,98,On Skin,37
1627,18333,18972,,68333,30972,72,98,On Skin,37
1063,18312,18939,,68312,30939,72,98,On Skin,37
659,18233,18893,,68233,30893,72,98,On Skin,37
11059,18231,18884,,68231,30884,72,98,On Skin,37
5662,18274,18900,,68274,30900,72,98,On Skin,37
1067,18335,18915,,68335,30915,72,98,On Skin,37
1502,18333,18910,,68333,30910,72,98,On Skin,37
1328,18293,18880,,68293,30880,72,98,On Skin,37
1789,18269,18861,,68269,30861,72,98,On Skin,37
1481,18274,18850,,68274,30850,72,98,On Skin,37
1746,18339,18886,,68339,30886,72,98,On Skin,37
1879,18349,18875,,68349,30875,72,98,On Skin,37
2021,18385,18884,,68385,30884,72,98,On Skin,37
2064,18461,18908,,68461,30908,72,98,On Skin,37
1701,18510,18909,,68510,30909,72,98,On Skin,37
2744,18430,18879,,68430,30879,72,98,On Skin,37
2849,18171,18785,,68171,30785,72,98,On Skin,37
3511,17734,18652,,67734,30652,72,98,On Skin,37
3369,17216,18510,,67216,30510,72,98,On Skin,37
3862,16721,18394,,66721,30394,72,98,On Skin,37
3359,16320,18302,,66320,30302,72,98,On Skin,37
2563,16013,18228,,66013,30228,72,98,On Skin,37
1724,15824,18191,,65824,30191,72,98,On Skin,37
-222,15753,18181,,65753,30181,72,98,On Skin,37
491,15788,18197,,65788,30197,72,98,On Skin,37
653,15810,18198,,65810,30198,72,98,On Skin,37
898,15879,18221,,65879,30221,72,98,On Skin,37
1038,15906,18201,,65906,30201,72,98,On Skin,37
1202,15882,18179,,65882,30179,72,98,On Skin,37
1263,15906,18176,,65906,30176,72,98,On Skin,37
988,15971,18193,,65971,30193,72,98,On Skin,37
1199,16109,18250,,66109,30250,72,98,On Skin,37
1409,16171,18255,,66171,30255,72,98,On Skin,37
1658,16201,18257,,66201,30257,72,98,On Skin,37
1175,16160,18240,,66160,30240,72,98,On Skin,37
1255,16114,18209,,66114,30209,72,98,On Skin,37
1089,16085,18209,,66085,30209,72,98,On Skin,37
1262,16134,18217,,66134,30217,72,98,On Skin,37
1877,16191,18246,,66191,30246,72,98,On Skin,37
2220,16220,18245,,66220,30245,72,98,On Skin,37
3032,16207,18224,,66207,30224,72,98,On Skin,37
3247,16211,18210,,66211,30210,72,98,On Skin,37
3348,16264,18233,,66264,30233,72,98,On Skin,37
3225,16342,18248,,66342,30248,72,98,On Skin,37
3561,16450,18286,,66450,30286,72,98,On Skin,37
3120,16559,18323,,66559,30323,72,98,On Skin,37
3398,16657,18344,,66657,30344,72,98,On Skin,37
1757,17001,18420,,67001,30420,72,98,On Skin,37
1445,17014,18416,,67014,30416,72,98,On Skin,37
406,17037,18412,,67037,30412,72,98,On Skin,37
9816,17080,18420,,67080,30420,72,98,On Skin,37
3176,17116,18424,,67116,30424,72,98,On Skin,37
-4404,17114,18409,,67114,30409,72,98,On Skin,37
-6379,17055,18383,,67055,30383,72,98,On Skin,37
-6269,17079,18382,,67079,30382,72,98,On Skin,37
-5494,17068,18385,,67068,30385,72,98,On Skin,37
-5008,17158,18414,,67158,30414,72,98,On Skin,37
-5035,17204,18430,,67204,30430,72,98,On Skin,37
-7452,17238,18427,,67238,30427,72,98,On Skin,37
-13561,17232,18424,,67232,30424,72,98,On Skin,37
-16225,17230,18418,,67230,30418,72,98,On Skin,37
-14735,17276,18420,,67276,30420,72,98,On Skin,37
-12443,17279,18422,,67279,30422,72,98,On Skin,37
-11088,17121,18373,,67121,30373,72,98,On Skin,37
-9186,16745,18262,,66745,30262,72,98,On Skin,37
-7603,16277,18145,,66277,30145,72,98,On Skin,37
-6331,15783,18023,,65783,30023,72,98,On Skin,37
-6040,15347,17919,,65347,29919,72,98,On Skin,37
-6030,15000,17833,,65000,29833,72,98,On Skin,37
-6588,14802,17790,,64802,29790,72,98,On Skin,37
-6431,14710,17760,,64710,29760,72,98,On Skin,37
-6043,14715,17778,,64715,29778,72,98,On Skin,37
-5500,14744,17776,,64744,29776,72,98,On Skin,37
